Series Name,Official Core Consumer Price Index
198412,47
198501,47.3
198502,47.8
198503,48.3
198504,48.6
198505,49.2
198506,49.2
198507,49.4
198508,49.6
198509,49.6
198510,49.7
198511,49.6
198512,49.8
198601,50
198602,50.1
198603,50.6
198604,50.6
198605,50.7
198606,50.8
198607,50.8
198608,51
198609,51.2
198610,51.2
198611,51.4
198612,51.6
198701,51.8
198702,51.9
198703,51.9
198704,52.1
198705,52.2
198706,52.3
198707,52.4
198708,52.6
198709,52.6
198710,52.8
198711,53.5
198712,53.7
198801,53.7
198802,53.8
198803,53.8
198804,53.9
198805,54
198806,54.1
198807,54.3
198808,54.4
198809,54.7
198810,54.8
198811,55
198812,55.2
198901,55.3
198902,55.5
198903,55.7
198904,55.8
198905,55.9
198906,56.4
198907,56.8
198908,57.1
198909,57.2
198910,57.4
198911,57.6
198912,57.7
199001,58.1
199002,58.3
199003,58.4
199004,58.8
199005,58.9
199006,59.1
199007,59.3
199008,59.5
199009,59.6
199010,60.2
199011,60.4
199012,60.6
199101,60.8
199102,61.1
199103,61.2
199104,62
199105,62
199106,62.3
199107,62.3
199108,62.5
199109,62.7
199110,62.8
199111,63
199112,63.2
199201,63.3
199202,63.4
199203,63.7
199204,63.8
199205,64.5
199206,65.1
199207,65.1
199208,65.3
199209,65.8
199210,65.9
199211,66.2
199212,66.3
199301,66.5
199302,67.1
199303,67.1
199304,67.2
199305,67.3
199306,67.4
199307,67.7
199308,68
199309,68.6
199310,68.6
199311,68.9
199312,69.3
199401,69.7
199402,69.8
199403,70
199404,70.1
199405,70.3
199406,70.4
199407,70.6
199408,71
199409,71
199410,71.2
199411,71.3
199412,71.5
199501,71.7
199502,71.9
199503,72.2
199504,72.6
199505,73.1
199506,73.6
199507,74
199508,74.2
199509,74.4
199510,74.6
199511,74.9
199512,75.1
199601,75.2
199602,75.5
199603,75.7
199604,75.9
199605,76
199606,76.2
199607,76.3
199608,76.4
199609,76.5
199610,76.6
199611,77.2
199612,77.3
199701,77.7
199702,77.9
199703,78.1
199704,78.3
199705,78.7
199706,79
199707,79.1
199708,79.6
199709,80.2
199710,80.9
199711,81.7
199712,82
199801,82.6
199802,82.8
199803,83.8
199804,84.6
199805,84.7
199806,85
199807,85.5
199808,85.7
199809,85.9
199810,86
199811,86.1
199812,86.2
199901,86.4
199902,86.5
199903,86.7
199904,86.1
199905,85.7
199906,85.7
199907,86.1
199908,86.3
199909,86.4
199910,86.6
199911,86.8
199912,86.8
200001,86.8
200002,86.9
200003,86.9
200004,87.1
200005,87.2
200006,87.3
200007,87.4
200008,87.4
200009,87.6
200010,87.7
200011,87.7
200012,87.9
200101,88.1
200102,88.2
200103,88.2
200104,88.9
200105,88.9
200106,89.1
200107,89.1
200108,89.2
200109,89.2
200110,89.1
200111,89.2
200112,89.2
200201,89.2
200202,89.2
200203,89.3
200204,89.4
200205,89.2
200206,89.2
200207,89.2
200208,89.3
200209,89.3
200210,89.2
200211,89.3
200212,89.3
200301,89.4
200302,89.3
200303,89.3
200304,89.3
200305,88.9
200306,88.9
200307,88.9
200308,88.8
200309,88.8
200310,88.9
200311,88.9
200312,88.9
200401,89
200402,89.2
200403,89.2
200404,89.2
200405,89.3
200406,89.3
200407,89.3
200408,89.2
200409,89.3
200410,89.3
200411,89.4
200412,89.5
200501,89.5
200502,89.6
200503,89.7
200504,89.7
200505,90.3
200506,90.4
200507,91.1
200508,91.3
200509,91.4
200510,91.5
200511,91.7
200512,91.9
200601,92
200602,92.3
200603,92.3
200604,92.6
200605,92.8
200606,92.9
200607,92.9
200608,93.2
200609,93.2
200610,93.3
200611,93.4
200612,93.4
200701,93.5
200702,93.4
200703,93.5
200704,93.4
200705,93.3
200706,93.4
200707,93.4
200708,93.6
200709,93.8
200710,94
200711,94
200712,94.2
200801,94
200802,94
200803,94
200804,94.1
200805,94.2
200806,94.4
200807,94.6
200808,93
200809,93
200810,93
200811,92.8
200812,92.7
200901,92.5
200902,93
200903,93
200904,93
200905,92.1
200906,92.3
200907,92.4
200908,92.4
200909,92.6
200910,92.6
200911,92.7
200912,92.7
201001,92.9
201002,93
201003,93
201004,93.3
201005,93.3
201006,93.4
201007,93.4
201008,93.5
201009,93.6
201010,93.6
201011,93.6
201012,93.7
201101,93.7
201102,93.7
201103,93.7
201104,93.8
201105,93.8
201106,93.8
201107,93.9
201108,94
201109,93.9
201110,94
201111,94
201112,94.1
201201,94.1
201202,94.1
201203,94.2
201204,94.3
201205,94.5
201206,94.6
201207,94.7
201208,94.9
201209,95.1
201210,95.1
201211,95.2
201212,95.3
201301,95.3
201302,95.3
201303,95.3
201304,95.3
201305,95.3
201306,95.4
201307,95.5
201308,95.5
201309,95.6
201310,95.6
201311,95.7
201312,95.7
201401,95.7
201402,95.8
201403,95.9
201404,95.9
201405,96
201406,96
201407,96.1
201408,96.2
201409,96.2
201410,96.2
201411,96.3
201412,96.5
201501,96.6
201502,96.7
201503,96.8
201504,96.8
201505,96.9
201506,96.9
201507,97
201508,97
201509,97.1
201510,97.1
201511,97.1
201512,97.1
201601,97.2
201602,97.4
201603,97.5
201604,97.5
201605,97.6
201606,97.6
201607,97.6
201608,97.7
201609,97.7
201610,97.7
201611,97.7
201612,97.7
201701,97.8
201702,97.7
201703,97.8
201704,97.8
201705,97.8
201706,97.9
201707,97.9
201708,97.9
201709,98
201710,98.1
201711,98.2
201712,98.2
201801,98.2
201802,98.3
201803,98.3
201804,98.4
201805,98.5
201806,98.5
201807,98.5
201808,98.5
201809,98.5
201810,98.5
201811,98.5
201812,98.5
201901,98.5
201902,98.6
201903,98.6
201904,98.7
201905,98.8
201906,98.9
201907,98.7
201908,98.9
201909,98.9
201910,98.9
201911,98.9
201912,99
202001,99
202002,99
202003,99
202004,98.9
202005,98.5
202006,98.5
202007,98.9
202008,98.9
202009,98.9
202010,98.9
202011,98.9
202012,98.9
202101,98.9
202102,98.8
202103,98.8
202104,99
202105,98.8
202106,98.8
202107,98.8
202108,98.7
202109,98.9
202110,98.9
202111,98.9
202112,98.9
202201,99
202202,99
202203,99.1
202204,99.2
202205,99.3
202206,99.4
202207,99.5
202208,99.6
202209,99.6
202210,99.7
202211,99.8
202212,99.8
202301,99.8
202302,99.9
202303,100
202304,100
202305,100
202306,100
202307,100
202308,100.1
202309,100
202310,100.1
202311,100.1
202312,100.1
202401,100.1
202402,100.1
202403,100.1
202404,100.2
202405,100.3
202406,100.2
202407,100.1
202408,100.2
202409,100.1
202410,100.2
202411,100.2
202412,100.2
202501,100.2
202502,100.3
202503,100.1